<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si-9.23,1,20230912,111500,94940.0000000,94981.0000000,94940.0000000,94971.0000000,4281
SPFB.Si-9.23,1,20230912,111600,94972.0000000,95063.0000000,94959.0000000,94988.0000000,7499
SPFB.Si-9.23,1,20230912,111700,94994.0000000,95045.0000000,94897.0000000,95010.0000000,11464
SPFB.Si-9.23,1,20230912,111800,95010.0000000,95025.0000000,94978.0000000,95024.0000000,1674
SPFB.Si-9.23,1,20230912,111900,95024.0000000,95098.0000000,95020.0000000,95058.0000000,8037
SPFB.Si-9.23,1,20230912,112000,95055.0000000,95074.0000000,95034.0000000,95034.0000000,2486
SPFB.Si-9.23,1,20230912,112100,95034.0000000,95080.0000000,95006.0000000,95051.0000000,3225
SPFB.Si-9.23,1,20230912,112200,95050.0000000,95057.0000000,95036.0000000,95044.0000000,635
SPFB.Si-9.23,1,20230912,112300,95044.0000000,95051.0000000,95022.0000000,95034.0000000,890
SPFB.Si-9.23,1,20230912,112400,95035.0000000,95050.0000000,95022.0000000,95040.0000000,1308
SPFB.Si-9.23,1,20230912,112500,95045.0000000,95064.0000000,95038.0000000,95053.0000000,1027
SPFB.Si-9.23,1,20230912,112600,95051.0000000,95057.0000000,95004.0000000,95008.0000000,1682
SPFB.Si-9.23,1,20230912,112700,95012.0000000,95048.0000000,95012.0000000,95047.0000000,552
SPFB.Si-9.23,1,20230912,112800,95047.0000000,95131.0000000,95042.0000000,95108.0000000,4460
SPFB.Si-9.23,1,20230912,112900,95105.0000000,95124.0000000,95047.0000000,95049.0000000,4715
SPFB.Si-9.23,1,20230912,113000,95050.0000000,95071.0000000,94984.0000000,95053.0000000,5502
SPFB.Si-9.23,1,20230912,113100,95056.0000000,95061.0000000,95031.0000000,95050.0000000,879
SPFB.Si-9.23,1,20230912,113200,95050.0000000,95117.0000000,95049.0000000,95109.0000000,1754
SPFB.Si-9.23,1,20230912,113300,95109.0000000,95114.0000000,95061.0000000,95067.0000000,1206
SPFB.Si-9.23,1,20230912,113400,95061.0000000,95096.0000000,95035.0000000,95072.0000000,2339
SPFB.Si-9.23,1,20230912,113500,95070.0000000,95083.0000000,95050.0000000,95074.0000000,2499
SPFB.Si-9.23,1,20230912,113600,95076.0000000,95090.0000000,95071.0000000,95083.0000000,1070
SPFB.Si-9.23,1,20230912,113700,95083.0000000,95097.0000000,95068.0000000,95069.0000000,3082
SPFB.Si-9.23,1,20230912,113800,95070.0000000,95080.0000000,95065.0000000,95067.0000000,486
SPFB.Si-9.23,1,20230912,113900,95066.0000000,95081.0000000,95050.0000000,95050.0000000,2732
